id,Added,Rating,STDev,Source Image,image url,image name,Canva Edit,Small Size,Dominant Size,Bridge Size,Heading Size,Paragraph Size,Dominant Font,Font #2,Font #3,Canva Template
53,basic,3.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-brown-with-photo-bible-study-church-flyer-MAC6lM3T-xo.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-brown-with-photo-bible-study-church-flyer-MAC6lM3T-xo.webp,https://www.canva.com/design?create=true&media=MAC6lM3T-xo,9.5,32,10,10,9.5,League Spartan,Open Sans,,https://www.canva.com/templates/flyers/MAC6lM3T-xo-canva-brown-with-photo-bible-study-church
54,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-blue-and-peach-beauty-makeup-flyer-MAC5t4rBq_w.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-blue-and-peach-beauty-makeup-flyer-MAC5t4rBq_w.webp,https://www.canva.com/design?create=true&media=MAC5t4rBq_w,8.94,35.7,8.94,11.9,8.94,Playfair Display,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5t4rBq_w-canva-dark-blue-and-peach-beauty-makeup
55,basic,3.333333333,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-blue-square-pattern-job-fair-flyer-MAC4WpalR-Y.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-blue-square-pattern-job-fair-flyer-MAC4WpalR-Y.webp,https://www.canva.com/design?create=true&media=MAC4WpalR-Y,10,24,9,10.9,9,League Spartan,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4WpalR-Y-canva-dark-blue-square-pattern-job-fair
56,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-event-flyer-MADKJzVJFo8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-event-flyer-MADKJzVJFo8.webp,https://www.canva.com/design?create=true&media=MADKJzVJFo8,14,120,18.1,,12,Kollektif,Quicksand,,https://www.canva.com/templates/flyers/MADKJzVJFo8-canva-event
57,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-limes-food-drive-flyer-MAC3X-aJ3LE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-limes-food-drive-flyer-MAC3X-aJ3LE.webp,https://www.canva.com/design?create=true&media=MAC3X-aJ3LE,9,36,12,14,7.95,Oswald,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3X-aJ3LE-canva-green-limes-food-drive
58,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-vegetable-flatlay-food-flyer-MAC6lYFykfE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-vegetable-flatlay-food-flyer-MAC6lYFykfE.webp,https://www.canva.com/design?create=true&media=MAC6lYFykfE,12,32,10,10,8,Norwester,Kollektif,,https://www.canva.com/templates/flyers/MAC6lYFykfE-canva-green-vegetable-flatlay-food
59,basic,3.333333333,4,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-navy-woman-photo-fashion-show-flyer-MAC5vawSZY4.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-navy-woman-photo-fashion-show-flyer-MAC5vawSZY4.webp,https://www.canva.com/design?create=true&media=MAC5vawSZY4,9,42,12,7.95,7.95,Norwester,Montserrat,Montserret Light,https://www.canva.com/templates/flyers/MAC5vawSZY4-canva-navy-woman-photo-fashion-show
60,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-and-red-leaves-fall-festival-flyer-MAC5t4eyqbI.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-and-red-leaves-fall-festival-flyer-MAC5t4eyqbI.webp,https://www.canva.com/design?create=true&media=MAC5t4eyqbI,9.93,47.7,9.93,17.8,9.93,League Gothic,Roboto,,https://www.canva.com/templates/flyers/MAC5t4eyqbI-canva-orange-and-red-leaves-fall-festival
61,basic,3.333333333,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-and-white-icons-sports-flyer-MAC3TYnQPGY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-and-white-icons-sports-flyer-MAC3TYnQPGY.webp,https://www.canva.com/design?create=true&media=MAC3TYnQPGY,9.93,35.7,9.93,15,10,Norwester,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3TYnQPGY-canva-orange-and-white-icons-sports
62,basic,3.333333333,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-mountains-summer-camp-flyer-MAC3Y6D0AFU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-mountains-summer-camp-flyer-MAC3Y6D0AFU.webp,https://www.canva.com/design?create=true&media=MAC3Y6D0AFU,10.9,27.8,10.9,9.93,10,Norwester,Montserrat,,https://www.canva.com/templates/flyers/MAC3Y6D0AFU-canva-orange-mountains-summer-camp
63,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-pink-and-turquoise-illustrated-volleyball-sports-flyer-MAC3TfTE7XM.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-pink-and-turquoise-illustrated-volleyball-sports-flyer-MAC3TfTE7XM.webp,https://www.canva.com/design?create=true&media=MAC3TfTE7XM,11,32,11,14,9.5,Norwester,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3TfTE7XM-canva-pink-and-turquoise-illustrated-volleyball-sports
64,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-purple-and-green-earth-volunteer-flyer-MAC7mtoG_Mk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-purple-and-green-earth-volunteer-flyer-MAC7mtoG_Mk.webp,https://www.canva.com/design?create=true&media=MAC7mtoG_Mk,10,28,10,10,9,League Spartan,Lato,,https://www.canva.com/templates/flyers/MAC7mtoG_Mk-canva-purple-and-green-earth-volunteer
66,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-yellow-colorful-90s-photo-skate-party-flyer-MAC5uH-riCQ.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-yellow-colorful-90s-photo-skate-party-flyer-MAC5uH-riCQ.webp,https://www.canva.com/design?create=true&media=MAC5uH-riCQ,12,32,12,12,8,Sifonn,Quicksand,,https://www.canva.com/templates/flyers/MAC5uH-riCQ-canva-red-yellow-colorful-90s-photo-skate-party
67,basic,3.333333333,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-teal-vector-white-elephant-flyer-MADLiGY128A.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-teal-vector-white-elephant-flyer-MADLiGY128A.webp,https://www.canva.com/design?create=true&media=MADLiGY128A,11.7,73.1,10.7,9.75,,Sensei,Roboto Condensed,,https://www.canva.com/templates/flyers/MADLiGY128A-canva-teal-vector-white-elephant
68,basic,3.333333333,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-white-&-olive-green-minimal-health-fair-flyer-MAC5v18P9fU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-white-&-olive-green-minimal-health-fair-flyer-MAC5v18P9fU.webp,https://www.canva.com/design?create=true&media=MAC5v18P9fU,10,21,10,10,7.95,Aleo,Montserrat,,https://www.canva.com/templates/flyers/MAC5v18P9fU-canva-white-&-olive-green-minimal-health-fair
69,basic,3,2,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-red-leaves-vector-fall-festival-flyer-MAC3TTi3eZE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-red-leaves-vector-fall-festival-flyer-MAC3TTi3eZE.webp,https://www.canva.com/design?create=true&media=MAC3TTi3eZE,11.9,27.8,11.9,10,9.5,Oswald,Gidole,,https://www.canva.com/templates/flyers/MAC3TTi3eZE-canva-black-and-red-leaves-vector-fall-festival
70,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-and-white-interview-modern-job-fair-flyer-MAC4WpwRgN4.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-and-white-interview-modern-job-fair-flyer-MAC4WpwRgN4.webp,https://www.canva.com/design?create=true&media=MAC4WpwRgN4,10,35.7,10.4,11.4,9,Bodoni FLF,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4WpwRgN4-canva-black-and-white-interview-modern-job-fair
71,text,3,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-modern-exhibit-volunteer-flyer-MAC7WViArkY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-modern-exhibit-volunteer-flyer-MAC7WViArkY.webp,https://www.canva.com/design?create=true&media=MAC7WViArkY,12,35,12,14,11,Open Sans,Open Sans Light,,https://www.canva.com/templates/flyers/MAC7WViArkY-canva-black-modern-exhibit-volunteer
72,basic,3,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-black-street-party-flyer-MAC5PxY69Mk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-black-street-party-flyer-MAC5PxY69Mk.webp,https://www.canva.com/design?create=true&media=MAC5PxY69Mk,11,36,10,10,10,League Spartan,Open Sans,,https://www.canva.com/templates/flyers/MAC5PxY69Mk-canva-black-street-party
73,basic,3,2,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-and-cream-grungy-popcorn-movie-night-flyer-MAC3TVsjX7s.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-and-cream-grungy-popcorn-movie-night-flyer-MAC3TVsjX7s.webp,https://www.canva.com/design?create=true&media=MAC3TVsjX7s,9.93,27.8,9.93,15.9,9,Norwester,Aleo,,https://www.canva.com/templates/flyers/MAC3TVsjX7s-canva-blue-and-cream-grungy-popcorn-movie-night
74,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-and-orange-leaves-fall-festival-flyer-MAC3TUavprc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-and-orange-leaves-fall-festival-flyer-MAC3TUavprc.webp,https://www.canva.com/design?create=true&media=MAC3TUavprc,10,30,9.93,11.9,10,Arvo,Rosario,,https://www.canva.com/templates/flyers/MAC3TUavprc-canva-blue-and-orange-leaves-fall-festival
75,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-and-peach-girl-photo-birthday-flyer-MAC3TT-TnZw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-and-peach-girl-photo-birthday-flyer-MAC3TT-TnZw.webp,https://www.canva.com/design?create=true&media=MAC3TT-TnZw,10,34,12,14,9,Edo,Kollektif,,https://www.canva.com/templates/flyers/MAC3TT-TnZw-canva-blue-and-peach-girl-photo-birthday
76,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-dots-and-rabbit-illustration-easter-flyer-MAC4WvNSUnk.jpg?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-dots-and-rabbit-illustration-easter-flyer-MAC4WvNSUnk.jpg,https://www.canva.com/design?create=true&media=MAC4WvNSUnk,9.93,30,10.9,11,9,Fredoke One,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4WvNSUnk-canva-blue-dots-and-rabbit-illustration-easter
77,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-blue-overlay-photo-job-fair-flyer-MAC7m-IHy2k.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-blue-overlay-photo-job-fair-flyer-MAC7m-IHy2k.webp,https://www.canva.com/design?create=true&media=MAC7m-IHy2k,8.5,32,10,12,8.5,Aileron Heavy,Aileron Regular,,https://www.canva.com/templates/flyers/MAC7m-IHy2k-canva-blue-overlay-photo-job-fair
78,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-bright-pink-dance-party-flyer-MAC5D5hRdLc.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-bright-pink-dance-party-flyer-MAC5D5hRdLc.webp,https://www.canva.com/design?create=true&media=MAC5D5hRdLc,12,36,10,14,8,Oswald,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5D5hRdLc-canva-bright-pink-dance-party
79,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-bright-pink-photo-music-festival-flyer-MAC50_8yy5U.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-bright-pink-photo-music-festival-flyer-MAC50_8yy5U.webp,https://www.canva.com/design?create=true&media=MAC50_8yy5U,11.9,40,11.9,13.9,10,Sifonn,Montserrat,,https://www.canva.com/templates/flyers/MAC50_8yy5U-canva-bright-pink-photo-music-festival
80,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-brown-illustration-dancers-ballet-dance-flyer-MAC4XLVJiIg.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-brown-illustration-dancers-ballet-dance-flyer-MAC4XLVJiIg.webp,https://www.canva.com/design?create=true&media=MAC4XLVJiIg,7.95,24,10,11,7.95,League Spartan,Montserrat,Montserret Light,https://www.canva.com/templates/flyers/MAC4XLVJiIg-canva-brown-illustration-dancers-ballet-dance
82,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-colorful-confetti-background-birthday-celebration-event-flyer-MAC7mrsHwDA.jpg?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-colorful-confetti-background-birthday-celebration-event-flyer-MAC7mrsHwDA.jpg,https://www.canva.com/design?create=true&media=MAC7mrsHwDA,9,35,10,10,8.5,Oswald,Montserret,Montserret Light,https://www.canva.com/templates/flyers/MAC7mrsHwDA-canva-colorful-confetti-background-birthday-celebration-event
83,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-colorful-floral-doodle-background-flyer-MAC5DkfGmqY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-colorful-floral-doodle-background-flyer-MAC5DkfGmqY.webp,https://www.canva.com/design?create=true&media=MAC5DkfGmqY,9.93,34,9.93,11.2,9.93,Nunito,Quicksand,,https://www.canva.com/templates/flyers/MAC5DkfGmqY-canva-colorful-floral-doodle-background
84,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-coral-floral-mother's-day-celebration-flyer-MAC7mihIXWc.jpg?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-coral-floral-mother's-day-celebration-flyer-MAC7mihIXWc.jpg,https://www.canva.com/design?create=true&media=MAC7mihIXWc,12,42,12,14,11,Playfair Display,Josefin Sans,,https://www.canva.com/templates/flyers/MAC7mihIXWc-canva-coral-floral-mother's-day-celebration
85,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-coral-flower-photo-mother's-day-flyer-MAC4C_nGiBg.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-coral-flower-photo-mother's-day-flyer-MAC4C_nGiBg.webp,https://www.canva.com/design?create=true&media=MAC4C_nGiBg,14,36,12,10,7.95,Abril Fatface,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4C_nGiBg-canva-coral-flower-photo-mother's-day
86,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-creams-carrots-stars-illustration-easter-flyer-MAC4WuYXyV4.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-creams-carrots-stars-illustration-easter-flyer-MAC4WuYXyV4.webp,https://www.canva.com/design?create=true&media=MAC4WuYXyV4,10.5,40.7,9.93,10.9,9,Lilita One,Lato,,https://www.canva.com/templates/flyers/MAC4WuYXyV4-canva-creams-carrots-stars-illustration-easter
87,basic,3,2,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-blue-cream-and-red-tickets-and-stars-movie-night-flyer-MAC7mpJQ4j8.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-blue-cream-and-red-tickets-and-stars-movie-night-flyer-MAC7mpJQ4j8.webp,https://www.canva.com/design?create=true&media=MAC7mpJQ4j8,10,28,10,10,10,Rubik One,Anonymous Pro,,https://www.canva.com/templates/flyers/MAC7mpJQ4j8-canva-dark-blue-cream-and-red-tickets-and-stars-movie-night
88,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-blue-photo-medical-health-fair-flyer-MAC7WYh2mIQ.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-blue-photo-medical-health-fair-flyer-MAC7WYh2mIQ.webp,https://www.canva.com/design?create=true&media=MAC7WYh2mIQ,10,35,11,12,7.5,Aileron Heavy,Aileron Regular,,https://www.canva.com/templates/flyers/MAC7WYh2mIQ-canva-dark-blue-photo-medical-health-fair
89,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-dark-purple-orange-witch's-hat-halloween-flyer-MAC5D3BIrJY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-dark-purple-orange-witch's-hat-halloween-flyer-MAC5D3BIrJY.webp,https://www.canva.com/design?create=true&media=MAC5D3BIrJY,12,40,12,10,8,Creepster,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5D3BIrJY-canva-dark-purple-orange-witch's-hat-halloween
90,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-fall-festival-event-flyer-MAC7mpRJwkg.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-fall-festival-event-flyer-MAC7mpRJwkg.webp,https://www.canva.com/design?create=true&media=MAC7mpRJwkg,9,37,10,10,9,Norwester,Montserret,Montserret Light,https://www.canva.com/templates/flyers/MAC7mpRJwkg-canva-green-fall-festival-event
91,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-green-medicine-icons-health-fair-flyer-MAC4Dj6eGos.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-green-medicine-icons-health-fair-flyer-MAC4Dj6eGos.webp,https://www.canva.com/design?create=true&media=MAC4Dj6eGos,14,32,12,10,7.95,League Spartan,Aleo,,https://www.canva.com/templates/flyers/MAC4Dj6eGos-canva-green-medicine-icons-health-fair
92,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-medium-aquamarine-building-job-fair-flyer-MAC5uiumats.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-medium-aquamarine-building-job-fair-flyer-MAC5uiumats.webp,https://www.canva.com/design?create=true&media=MAC5uiumats,12,28,12,10,8,League Spartan,Arvo,,https://www.canva.com/templates/flyers/MAC5uiumats-canva-medium-aquamarine-building-job-fair
93,basic,3,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-monochrome-model-photo-fashion-show-flyer-MAC5vQWghwE.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-monochrome-model-photo-fashion-show-flyer-MAC5vQWghwE.webp,https://www.canva.com/design?create=true&media=MAC5vQWghwE,12,48,12,15,10.5,Playfair Display Black,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5vQWghwE-canva-monochrome-model-photo-fashion-show
94,Text,3,3.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-and-green-fiesta-party-flyer-MAC7mj1J6Xs.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-and-green-fiesta-party-flyer-MAC7mj1J6Xs.webp,https://www.canva.com/design?create=true&media=MAC7mj1J6Xs,11,32,12,10,9,Knewave,Montserrat,,https://www.canva.com/templates/flyers/MAC7mj1J6Xs-canva-orange-and-green-fiesta-party
95,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-orange-autumn-leaves-pattern-fall-festival-flyer-MAC3Tal7QLw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-orange-autumn-leaves-pattern-fall-festival-flyer-MAC3Tal7QLw.webp,https://www.canva.com/design?create=true&media=MAC3Tal7QLw,9.93,35,9.93,17,10,Norwester,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC3Tal7QLw-canva-orange-autumn-leaves-pattern-fall-festival
96,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-pastel-popsicle-summer-festival-flyer-MAC7mwERtvk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-pastel-popsicle-summer-festival-flyer-MAC7mwERtvk.webp,https://www.canva.com/design?create=true&media=MAC7mwERtvk,10,28,9,9,9.5,League Spartan,Arvo,,https://www.canva.com/templates/flyers/MAC7mwERtvk-canva-pastel-popsicle-summer-festival
97,basic,3,2,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-pink-&-white-tropical-minimalist-simple-clean-summer-event-flyer-MAC3TdMQ9sU.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-pink-&-white-tropical-minimalist-simple-clean-summer-event-flyer-MAC3TdMQ9sU.webp,https://www.canva.com/design?create=true&media=MAC3TdMQ9sU,13.9,30,9,14,9,Montserrat,Lora,,https://www.canva.com/templates/flyers/MAC3TdMQ9sU-canva-pink-&-white-tropical-minimalist-simple-clean-summer-event
98,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-pink-overlay-flower-festival-flyer-MAC4DWCq5Dk.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-pink-overlay-flower-festival-flyer-MAC4DWCq5Dk.webp,https://www.canva.com/design?create=true&media=MAC4DWCq5Dk,12,36,12,14,9,League Spartan,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC4DWCq5Dk-canva-pink-overlay-flower-festival
99,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-and-cream-block-party-flyer-MAC5uGwBvFY.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-and-cream-block-party-flyer-MAC5uGwBvFY.webp,https://www.canva.com/design?create=true&media=MAC5uGwBvFY,12,32,12,10,8,Glacial Indifference,,,https://www.canva.com/templates/flyers/MAC5uGwBvFY-canva-red-and-cream-block-party
100,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-gray-boxes-canned-goods-food-drive-flyer-MAC3TTJ5W2w.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-gray-boxes-canned-goods-food-drive-flyer-MAC3TTJ5W2w.webp,https://www.canva.com/design?create=true&media=MAC3TTJ5W2w,9.9,30,9.93,9.93,10,League Spartan,Open Sans,,https://www.canva.com/templates/flyers/MAC3TTJ5W2w-canva-red-gray-boxes-canned-goods-food-drive
101,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-red-hockey-game-sports-flyer-MAC5P8evlMw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-red-hockey-game-sports-flyer-MAC5P8evlMw.webp,https://www.canva.com/design?create=true&media=MAC5P8evlMw,9.93,40,10,9,9,Norwester,Montserret,,https://www.canva.com/templates/flyers/MAC5P8evlMw-canva-red-hockey-game-sports
102,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-teal-pink-stars-cupcake-bake-sale-flyer-MAC3TXvIpQI.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-teal-pink-stars-cupcake-bake-sale-flyer-MAC3TXvIpQI.webp,https://www.canva.com/design?create=true&media=MAC3TXvIpQI,9,35,10.5,15,9.5,Lilita One,Montserret,Montserret Light,https://www.canva.com/templates/flyers/MAC3TXvIpQI-canva-teal-pink-stars-cupcake-bake-sale
103,basic,3,3,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-yellow-ice-cream-parlor-fundraiser-flyer-MAC5D0kbNIw.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-yellow-ice-cream-parlor-fundraiser-flyer-MAC5D0kbNIw.webp,https://www.canva.com/design?create=true&media=MAC5D0kbNIw,12,36,12,10,8,Aleo,Glacial Indifference,,https://www.canva.com/templates/flyers/MAC5D0kbNIw-canva-yellow-ice-cream-parlor-fundraiser
104,basic,3,2.5,,https://firebasestorage.googleapis.com/v0/b/design-q.appspot.com/o/inspiration%2Fcanva-yellow-tree-cutout-fun-run-fundraiser-flyer-MAC4XNvCfaM.webp?alt=media&token=18b3dbbe-c2b4-418b-9579-ba7cf434bd08,canva-yellow-tree-cutout-fun-run-fundraiser-flyer-MAC4XNvCfaM.webp,https://www.canva.com/design?create=true&media=MAC4XNvCfaM,10,36,9.75,12,8,Peace Sans,Montserret,,https://www.canva.com/templates/flyers/MAC4XNvCfaM-canva-yellow-tree-cutout-fun-run-fundraiser
